key,value
appTitle,Deliaxe Paint
copyright,© 2025
company,Anarkade
languageNames.en,English
languageNames.es-ES,Español (España)
languageNames.es-LA,Español (Latinoamérica)
languageNames.ca,Català
languageNames.zh-CN,简体中文
languageNames.zh-TW,繁體中文
languageNames.ja,日本語
languageNames.it,Italiano
languageNames.de,Deutsch
languageNames.fr,Français
languageNames.pt-PT,Português (Portugal)
languageNames.ru,Русский
languageNames.pt-BR,Português (Brasil)
languageNames.pl,Polski
languageNames.tr,Türkçe
languageNames.eu,Euskera
languageNames.oc,Aranés
languageNames.th,ไทย
languageNames.ko,한국어
languageNames.cs,Čeština
