key,en,es-ES,es-LA,ca,zh-CN,zh-TW,ja,it,de,fr,pt-PT,ru,pt-BR,pl,tr,eu,oc,th,ko,cs
loadImage,Import Image [I],Importar imagen [I],Importar imagen [I],Importar Imatge [I],导入图像 [I],導入圖像 [I],画像をインポート [I],Importa immagine [I],Bild importieren [I],Importer une image [I],Importar Imagem [I],Импорт Изображения [I],Importar Imagem [I],Importuj Obraz [I],Resim İçe Aktar [I],Irudia Inportatu [I],Importar Imatge [I],นำเข้ารูป [I],이미지 가져오기 [I],Načíst obrázek [I]
paletteViewer,Palette Viewer,Visor de paleta,Visor de paleta,Visor de Paleta,调色板查看器,調色板檢視器,パレットビューア,Visualizzatore di palette,Paletten‑Ansicht,Visualiseur de palette,Visualizador de Paleta,Просмотр Палитры,Visualizador de Paleta,Podgląd Palety,Palet Görüntüleyici,Paleta Ikustailea,Visualizador de Paleta,ดูจานสี,팔레트 뷰어,Prohlížeč palety
changeResolution,Change Resolution [R],Cambiar resolución [R],Cambiar resolución [R],Canviar Resolució [R],更改分辨率 [R],更改解析度 [R],解像度を変更 [R],Cambia risoluzione [R],Auflösung ändern [R],Changer la résolution [R],Alterar Resolução [R],Изменить Разрешение [R],Alterar Resolução [R],Zmień Rozdzielczość [R],Çözünürlüğü Değiştir [R],Bereizmena Aldatu [R],Cambiar Resolucion [R],เปลี่ยนความละเอียด [R],해상도 변경 [R],Změnit rozlišení [R]
changeGrids,Change Grids [G],Cambiar rejillas [G],Cambiar rejillas [G],Canviar Quadrícules [G],更改网格 [G],更改網格 [G],グリッドを変更 [G],Cambia griglie [G],Raster ändern [G],Changer les grilles [G],Alterar Grelhas [G],Изменить Сетки [G],Alterar Grades [G],Zmień Siatki [G],Izgara Değiştir [G],Saretiak Aldatu [G],Cambiar Grilhas [G],เปลี่ยนเส้นตาราง [G],그리드 변경 [G],Změnit mřížky [G]
settings,Settings,Ajustes,Ajustes,Configuració,设置,設定,設定,Impostazioni,Einstellungen,Paramètres,Definições,Настройки,Configurações,Ustawienia,Ayarlar,Ezarpenak,Configuracion,การตั้งค่า,설정,Nastavení
exportImage,Export Image [E],Exportar imagen [E],Exportar imagen [E],Exportar Imatge [E],导出图像 [E],匯出圖像 [E],画像をエクスポート [E],Esporta immagine [E],Bild exportieren [E],Exporter l’image [E],Exportar Imagem [E],Экспорт Изображения [E],Exportar Imagem [E],Eksportuj Obraz [E],Resim Dışa Aktar [E],Irudia Esportatu [E],Exportar Imatge [E],ส่งออกรูป [E],MT: Export Image [E]
preview,Preview,Vista previa,Vista previa,Vista Prèvia,预览,預覽,プレビュー,Anteprima,Vorschau,Aperçu,Pré-visualização,Предпросмотр,Visualização,Podgląd,Önizleme,Aurrebista,Vista Prèvia,ดูตัวอย่าง,미리보기,Náhled
appTitle,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint,Deliaxe Paint
appSubtitle,Retro pixel art support suite,Herramientas retro para pixel art,Herramientas retro para pixel art,Eines retro per a pixel art,复古像素艺术支持工具,復古像素藝術工具套件,レトロなピクセルアート支援ツール,Suite di strumenti retro per pixel art,Retro-Pixelart-Werkzeug-Suite,Suite d'outils rétro pour pixel art,Retro pixel art support suite,Retro pixel art support suite,Retro pixel art support suite,Retro pixel art support suite,Retro pixel art support suite,Retro pixel art support suite,Eines retro per a pixel art,ชุดเครื่องมือสำหรับงานพิกเซลอาร์ตสไตล์เรโทร,레트로 픽셀 아트 지원 도구 모음,Sada nástrojů pro retro pixel art
copyright,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025,© 2025
company,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade,Anarkade
uploadImage,Upload Image,Subir imagen,Subir imagen,Pujar imatge,上传图片,上傳圖片,画像をアップロード,Carica immagine,Bild hochladen,Téléverser une image,Upload Image,Загрузить Изображение,Upload Image,Prześlij Obraz,Yükle Görüntü,Igo Irudia,Pujar imatge,อัปโหลดรูป,이미지 업로드,Nahrát obrázek
dragDropText,"Load, drag and drop or paste an image","Cargar, arrastrar y soltar o pegar una imagen","Carrega, arrossega i deixa anar o enganxa una imatge",加载、拖放或粘贴一张图片,載入、拖放或貼上圖片,画像を読み込む、ドラッグ＆ドロップ、または貼り付け,"Carica, trascina e rilascia o incolla un’immagine","Bild laden, per Drag-and-drop ablegen oder einfügen","Charger, glisser‑déposer ou coller une image","Carregar, arrastar e largar ou colar uma imagem","Загрузите, перетащите или вставьте изображение","Carregar, arrastar e soltar ou colar uma imagem","Wczytaj, przeciągnij i upuść lub wklej obraz","Bir görsel yükleyin, sürükleyip bırakın veya yapıştırın","Kargatu, arrastatu eta jaregin edo itsatsi irudia","Cargar, lisar‑depausar o pegar una imatge",โหลด ลากแล้ววาง หรือวางภาพจากคลิปบอร์ด,โหลด รูปโดยลากและวาง หรือวางจากคลิปบอร์ด,이미지 불러오기 — 드래그 앤 드롭하거나 붙여넣기
orText,or,o,o,o,或,或,または,o,oder,ou,or,or,or,or,or,or,o,หรือ,또는,nebo
loadFromUrl,Load from URL,Cargar desde URL,Cargar desde URL,Carregar des de URL,从 URL 加载,從 URL 載入,URLから読み込む,Carica da URL,Von URL laden,Charger depuis une URL,Load from URL,Load from URL,Load from URL,Load from URL,Load from URL,Load from URL,Carregar des de URL,โหลดจาก URL,URL에서 불러오기,Načíst z URL
