key,en,es-ES,es-LA,ca,zh-CN,zh-TW,ja,it,de,fr,pt-PT,ru,pt-BR,pl,tr,eu,oc,th,ko,cs
changeGrids,Change grids [G],Cambiar rejillas [G],Cambiar rejillas [G],Canviar Quadrícules [G],更改网格 [G],更改網格 [G],グリッドを変更 [G],Cambia griglie [G],Raster ändern [G],Changer les grilles [G],Alterar Grelhas [G],Изменить Сетки [G],Alterar Grades [G],Zmień Siatki [G],Izgara Değiştir [G],Saretiak Aldatu [G],Cambiar Grilhas [G],เปลี่ยนเส้นตาราง [G],그리드 변경 [G],Změnit mřížky [G]
changeGridsDesc,"Configure tile and frame grid overlays","Configura las rejillas de tiles y frames","Configura les quadrícules de tiles i de fotogrames","配置方块和帧网格叠加","設定方塊格線與影格格線疊加","タイルグリッドとフレームグリッドのオーバーレイを設定","Configura le griglie di tile e di frame","Kachel‑ und Frame‑Raster‑Overlays konfigurieren","Configurer les grilles de tuiles et de cadres","Configurar as grelhas de tiles e de frames","Настройте оверлеи сеток тайлов и кадров","Configurar as grades de tiles e de quadros","Skonfiguruj nakładki siatek kafelków i klatek","Döşeme ve kare ızgara kaplamalarını yapılandırın","Konfiguratu tile eta frame sareta gainjarriak","Configurar las grasilhas de tiles e de quadres","ตั้งค่าโอเวอร์เลย์เส้นตารางไทล์และเฟรม","กำหนดการซ้อนทับกริดของไทล์และเฟรม","타일 및 프레임 그리드 오버레이를 구성하십시오","Nakonfigurujte překryvy mřížky dlaždic a snímků"
showTileGrid,Show tile grid,Mostrar rejilla de tiles,Mostrar rejilla de tiles,Mostrar reixeta de tiles,显示瓦片网格,顯示圖塊網格,タイルグリッドを表示,Mostra griglia dei tile,Tile-Gitter anzeigen,Afficher la grille de tuiles,Show tile grid,Show tile grid,Show tile grid,Show tile grid,Show tile grid,Show tile grid,Mostrar reixeta de tiles,แสดงกริดไทล์,타일 그리드 표시,Zobrazit mřížku dlaždic
showFrameGrid,Show frame grid,Mostrar rejilla de fotogramas,Mostrar rejilla de fotogramas,Mostrar reixeta de fotogrames,显示帧网格,顯示幀網格,フレームグリッドを表示,Mostra griglia dei frame,Frame-Gitter anzeigen,Afficher la grille de frames,Show frame grid,Show frame grid,Show frame grid,Show frame grid,Show frame grid,Show frame grid,Mostrar reixeta de fotogrames,แสดงกริดเฟรม,프레임 그리드 표시,Zobrazit mřížku snímků
tileWidth,Width,Ancho,Ancho,Amplada,宽度,寬度,幅,Larghezza,Breite,Largeur,Width,Width,Width,Width,Width,Width,Amplada,ความกว้าง,너비,Šířka
tileHeight,Height,Alto,Alto,Alçada,高度,高度,高さ,Altezza,Höhe,Hauteur,Height,Height,Height,Height,Height,Height,Alçada,ความสูง,높이,Výška
tileGridColor,Tile grid color,Color de la rejilla de tiles,Color de la rejilla de tiles,Color de la reixeta de tiles,瓦片网格颜色,圖塊網格顏色,タイルグリッドの色,Colore griglia tile,Tile-Gitterfarbe,Couleur de la grille de tuiles,Tile grid color,Tile grid цвет,Tile grid color,Tile grid kolor,Tile grid renk,Tile grid kolore,Color de la reixeta de tiles,สีกริดไทล์,타일 그리드 색상,Barva mřížky dlaždic
frameWidth,Width,Ancho,Ancho,Amplada,宽度,寬度,幅,Larghezza,Breite,Largeur,Width,Width,Width,Width,Width,Width,Amplada,ความกว้าง,너비,Šířka
frameHeight,Height,Alto,Alto,Alçada,高度,高度,高さ,Altezza,Höhe,Hauteur,Height,Height,Height,Height,Height,Height,Alçada,ความสูง,높이,Výška
frameGridColor,Frame grid color,Color de la rejilla de fotogramas,Color de la rejilla de fotogramas,Color de la reixeta de fotogrames,帧网格颜色,幀網格顏色,フレームグリッドの色,Colore griglia frame,Frame-Gitterfarbe,Couleur de la grille de frames,Frame grid color,Frame grid цвет,Frame grid color,Frame grid kolor,Frame grid renk,Frame grid kolore,Color de la reixeta de fotogrames,สีกริดเฟรม,프레임 그리드 색상,Barva mřížky snímků
width,Width,Ancho,Ancho,Amplada,宽度,寬度,幅,Larghezza,Breite,Largeur,Width,Width,Width,Width,Width,Width,Amplada,ความกว้าง,너비,Šířka
height,Height,Alto,Alto,Alçada,高度,高度,高さ,Altezza,Höhe,Hauteur,Height,Height,Height,Height,Height,Height,Alçada,ความสูง,높이,Výška
