key,en,es-ES,es-LA,ca,zh-CN,zh-TW,ja,it,de,fr,pt-PT,ru,pt-BR,pl,tr,eu,oc,th,ko,cs
changeResolution,Change resolution [R],Cambiar resolución [R],Cambiar resolución [R],Canviar Resolució [R],更改分辨率 [R],更改解析度 [R],解像度を変更 [R],Cambia risoluzione [R],Auflösung ändern [R],Changer la résolution [R],Alterar Resolução [R],Изменить Разрешение [R],Alterar Resolução [R],Zmień Rozdzielczość [R],Çözünürlüğü Değiştir [R],Bereizmena Aldatu [R],Cambiar Resolucion [R],เปลี่ยนความละเอียด [R],MT: Change Resolution [R],1
changeResolutionDesc,Choose target resolution and scaling mode,Elige la resolución objetivo y el modo de escalado,Tria la resolució objectiu i el mode d’escalat,选择目标分辨率和缩放模式,選擇目標解析度與縮放模式,目標解像度とスケーリング方式を選択,Scegli la risoluzione di destinazione e la modalità di scalatura,Zielauflösung und Skalierungsmodus wählen,Choisir la résolution cible et le mode d’échelle,Escolher a resolução‑alvo e o modo de escala,Выберите целевое разрешение и режим масштабирования,Escolher a resolução alvo e o modo de escala,Wybierz docelową rozdzielczość i tryb skalowania,Hedef çözünürlüğü ve ölçekleme modunu seçin,Hautatu helburuko bereizmena eta eskalatze modua,Causir la resolucion cibla e lo mòde d’escala,เลือกความละเอียดเป้าหมายและโหมดการปรับสเกล,เลือกความละเอียดเป้าหมายและโหมดสเกล,MT: Choose target resolution and scaling mode,1
center,Center,Centrar,Centrar,Centrar,居中,置中,中央,Centra,Zentrieren,Centrer,Center,Center,Center,Center,Center,Center,Centrar,กึ่งกลาง,가운데,1
fit,Fit,Ajustar,Ajustar,MT: Fit,MT: Fit,フィット,MT: Fit,Anpassen,Ajuster,MT: Fit,Fit,Fit,Fit,Fit,Fit,Fit,Fit,ปรับให้พอดี,맞춤,1
dontScale,Don't scale,No escalar,No escalar,MT: Don't scale,MT: Don't scale,スケールしない,MT: Don't scale,Nicht skalieren,Ne pas mettre à l\'échelle,MT: Don't scale,Don't scale,Don't scale,Don't scale,Don't scale,Don't scale,Don't scale,MT:TBD,ไม่ย่อ/ขยาย,스케일하지 않음,1
scalingMode,Scaling Mode,Modo de escalado,Mode d\'escalat,MT: Scaling Mode,MT: Scaling Mode,スケーリングモード,MT: Scaling Mode,Skalierungsmodus,Mode de mise à l\'échelle,MT: Scaling Mode,Scaling Mode,Scaling Mode,Scaling Mode,Scaling Mode,Scaling Mode,Scaling Mode,Scaling Mode,โหมดสเกล,스케일 모드,1
stretch,Stretch,Estirar,Estirar,MT: Stretch,MT: Stretch,伸縮,MT: Stretch,Strecken,Étirer,MT: Stretch,Stretch,Stretch,Stretch,Stretch,Stretch,Stretch,Stretch,ยืด,늘리기,1
scaleToFit,Scale to fit,Escalar para ajustar,Escalar para ajustar,Escalar per ajustar,缩放以适应,縮放以適應,スケールして合わせる,Scala per adattare,Skalieren um anzupassen,Échelle pour adapter,Scale to fit,Scale to fit,Scale to fit,Scale to fit,Scale to fit,Scale to fit,Escalar per ajustar,สเกลให้พอดี,맞춤으로 스케일,1
resolution,Resolution,Resolución,Resolución,Resolució,分辨率,解析度,解像度,Risoluzione,Auflösung,Résolution,Resolution,Resolution,Resolution,Resolution,Resolution,Resolution,Resolució,ความละเอียด,해상도,1
targetResolution,Target resolution,Resolución objetivo,Resolución objetivo,Resolució objectiu,目标分辨率,目標解析度,目標解像度,Risoluzione target,Zielauflösung,Résolution cible,Target Resolution,Target Resolution,Target Resolution,Target Resolution,Target Resolution,Target Resolution,Resolució objectiu,ความละเอียดเป้าหมาย,목표 해상도,1
canvasNotSupported,Canvas not supported,Canvas no soportado,Canvas no soportado,Canvas no compatible,浏览器不支持 Canvas,瀏覽器不支援 Canvas,Canvas がサポートされていません,Canvas non supportato,Canvas wird nicht unterstützt,Canvas non pris en charge,Canvas not supported,Canvas not supported,Canvas not supported,Canvas not supported,Canvas not supported,Canvas not supported,Canvas no compatible,เบราว์เซอร์ไม่รองรับ Canvas,브라우저가 Canvas를 지원하지 않습니다,1
