key,en,es-ES,es-LA,ca,zh-CN,zh-TW,ja,it,de,fr,pt-PT,ru,pt-BR,pl,tr,eu,oc,th,ko,cs
preview,Preview,Vista previa,Vista previa,Vista prèvia,预览,預覽,プレビュー,Anteprima,Vorschau,Aperçu,Pré-visualização,Предпросмотр,Visualizar,Podgląd,Önizleme,Aurrebista,Vista prèvia,ดูตัวอย่าง,미리보기,Náhled
paletteWithCount,{count} colors palette,Paleta de {count} colores,Paleta de {count} colores,Paleta de {count} colors,{count} 色调色板,{count} 色調色板,{count} 色パレット,Tavolozza di {count} colori,Palette mit {count} Farben,Palette de {count} couleurs,Paleta de {count} cores,Палитра из {count} цветов,Paleta de {count} cores,Paleta {count} kolorów,{count} renk paleti,{count} kolore paleta,Paleta de {count} colors,พาเลท {count} สี,{count} 색 팔레트,Paleta {count} barev
original,Original,Original,Original,Original,原始,原始,オリジナル,Originale,Original,Original,Original,Оригинал,Original,Oryginał,Orijinal,Jatorrizkoa,Original,ต้นฉบับ,원본,Originál
originalLabel,Original:,Original:,Original:,Original:,原始：,原始：,オリジナル:,Originale:,Original:,Original:,Original:,Оригинал:,Original:,Oryginał:,Orijinal:,Jatorrizkoa:,Original:,ต้นฉบับ:,원본:,Originál:
processedLabel,Processed:,Procesada:,Procesada:,Processada:,已处理：,已處理：,処理済み:,Procesada:,Verarbeitet:,Traitée:,Processado:,Обработано:,Processado:,Przetworzono:,İşlenmiş:,Prozesatua:,Processat:,ประมวลผลแล้ว:,처리됨:,Zpracováno:
processed,Processed,Procesada,Procesada,Processada,已处理,已處理,処理済み,Procesada,Verifiziert,Traitée,Processado,Обработано,Processado,Przetworzony,İşlenmiş,Prozesatua,Processat,ประมวลผลแล้ว,처리됨,Zpracováno
fitToWidth,Fit to width,Ajustar al ancho,Ajustar al ancho,Ajustar a l'amplada,适应宽度,調整寬度,幅に合わせる,Adatta alla larghezza,An Breite anpassen,Ajuster à la largeur,Ajustar à largura,Подогнать по ширине,Ajustar à largura,Dopasuj do szerokości,Genişliğe sığdır,Egoneraren zabalerara egokitu,Ajustar a l'amplada,ปรับให้พอดีกับความกว้าง,너비에 맞춤,Přizpůsobit šířce
noImageLoaded,No image loaded,No hay imagen cargada,No hay imagen cargada,No hi ha cap imatge carregada,未加载图片,尚未載入圖片,画像が読み込まれていません,Nessuna immagine caricata,Kein Bild geladen,Aucune image chargée,Nenhuma imagem carregada,Изображение не загружено,Nenhuma imagem carregada,Nie załadowano obrazu,Resim yüklenmedi,Ez dago irudirik kargatua,Cap d'imatge carregat,ไม่ได้โหลดภาพ,이미지가 로드되지 않았습니다,Obrázek nebyl načten
zoom,Zoom,Zoom,Zoom,Zoom,缩放,縮放,ズーム,Zoom,Zoom,Zoom,Zoom,Масштаб,Zoom,Zoom,Powiększenie,Yakınlaştırma,Zoom,ซูม,확대/축소,Zvětšení
stretchToFit,Stretch to fit,Estirar para ajustar,Estirar para ajustar,Estirar per ajustar,拉伸以适应,延伸以適應,引き伸ばして合わせる,Allunga per adattare,An Breite anpassen,Étirer pour adapter,Esticar para ajustar,Растянуть для подгонки,Esticar para ajustar,Rozciągnij, aby dopasować,Sığdırmak için ger,Neurrira luzatu,Estirar per ajustar,ยืดให้พอดี,늘려서 맞춤,Roztažení pro přizpůsobení
