key,en,es-ES,es-LA,ca,zh-CN,zh-TW,ja,it,de,fr,pt-PT,ru,pt-BR,pl,tr,eu,oc,th,ko,cs
loadImage,Import image [I],Importar imagen [I],Importar imagen [I],Importar imatge [I],导入图像 [I],導入圖像 [I],画像をインポート [I],Importa immagine [I],Bild importieren [I],Importer une image [I],Importar imagem [I],Импорт изображения [I],Importar imagem [I],Importuj obraz [I],Resim içe aktar [I],Irudia inportatu [I],Importar imatge [I],นำเข้ารูปภาพ [I],이미지 가져오기 [I],Naimportovat obrázek [I]
loadImageDesc,"Load, drag and drop or paste an image to start processing it","Cargar, arrastrar y soltar o pegar una imagen para comenzar a procesarla","Cargar, arrastrar y soltar o pegar una imagen para comenzar a procesarla","Carregar, arrossegar i deixar anar o enganxar una imatge per començar a processar-la","加载、拖放或粘贴图像以开始处理它","載入、拖放或貼上圖像以開始處理它","画像を読み込み、ドラッグアンドドロップまたは貼り付けて処理を開始します","Carica, trascina e rilascia o incolla un'immagine per iniziare a elaborarla","Bild laden, ziehen und ablegen oder einfügen, um die Verarbeitung zu starten","Charger, glisser-déposer ou coller une image pour commencer à la traiter","Carregar, arrastar e soltar ou colar uma imagem para começar a processá-la","Загрузить, перетащить и отпустить или вставить изображение, чтобы начать обработку","Carregar, arrastar e soltar ou colar uma imagem para começar a processá-la","Załaduj, przeciągnij i upuść lub wklej obraz, aby rozpocząć przetwarzanie","Yükle, sürükle ve bırak veya yapıştır bir resmi işlemeye başlamak için","Kargatu, arrastatu eta jaregin edo itsatsi irudi bat prozesatzen hasteko","Cargar, traïnar e daissar o pegar una imatge per començar a la tractar","โหลด ลากและวางหรือวางภาพเพื่อเริ่มประมวลผลมัน","로드, 드래그 앤 드롭 또는 이미지를 붙여넣어 처리 시작","Načíst, přetáhnout a pustit nebo vložit obrázek pro zahájení zpracování"
loadImageToStart,Import an image to start editing,Importa una imagen para comenzar a editar,Importa una imagen para comenzar a editar,Importa una imatge per començar a editar,导入图片开始编辑,匯入圖片開始編輯,編集を始めるには画像をインポートしてください,Importa un'immagine per iniziare a modificare,"Importiere ein Bild, um mit der Bearbeitung zu beginnen",Importez une image pour commencer à éditer,Importar uma imagem para começar a editar,Импортируйте изображение чтобы начать редактирование,Importar uma imagem para começar a editar,Importuj obraz aby rozpocząć edycję,Düzenlemeye başlamak için bir resim içe aktarın,Irudia inportatu editatzen hasteko,Importar una imatge per començar a editar,นำเข้ารูปภาพเพื่อเริ่มแก้ไข,편집을 시작하려면 이미지를 가져오세요,Importujte obrázek pro úpravy
uploadImage,Load local image,Cargar imagen local,Cargar imagen local,Carregar imatge local,加载本地图像,載入本地圖像,ローカル画像を読み込む,Carica immagine locale,Lokales Bild laden,Charger l'image locale,Carregar imagem local,Загрузить локальное изображение,Carregar imagem local,Załaduj obraz lokalny,Yerel resmi yükle,Irudia lokal kargatu,Cargar imatge locala,โหลดภาพในเครื่อง,로컬 이미지 로드,Načíst místní obrázek
chooseFile,Upload an image file from your local device,Subir un archivo de imagen desde su dispositivo local,Subir un archivo de imagen desde su dispositivo local,Pujar un fitxer d'imatge des del dispositiu local,上传图像文件从您的本地设备,從您的本地裝置上傳圖像檔案,ローカルデバイスから画像ファイルをアップロード,Carica un file immagine dal tuo dispositivo locale,Bilddatei von Ihrem lokalen Gerät hochladen,Télécharger un fichier image depuis votre appareil local,Carregar um arquivo de imagem do seu dispositivo local,Загрузить файл изображения с вашего локального устройства,Carregar um arquivo de imagem do seu dispositivo local,Prześlij plik obrazu z urządzenia lokalnego,Yerel cihazınızdan bir görüntü dosyası yükleyin,Irudia fitxategia kargatu zure gailu lokalatik,Telecargar un fichièr d'imatge dempuèi vòstre dispositiu local,อัปโหลดไฟล์ภาพจากอุปกรณ์ในเครื่องของคุณ,로컬 장치에서 이미지 파일 업로드,Lokální zařízení nahrát soubor obrázku
dragDropText,"Load, drag and drop or paste an image","Cargar, arrastra, suelta o pega una imagen","Cargar, arrastra, suelta o pega una imagen","Carrega, arrossega, deixa anar o enganxa una imatge","加载、拖放或粘贴一张图片","載入、拖放或貼上圖片","画像を読み込む、ドラッグ＆ドロップ、または貼り付け","Carica, trascina e rilascia o incolla un'immagine","Bild laden, per Drag-and-drop ablegen oder einfügen","Charger, glisser-déposer ou coller une image","Carregar, arrastar e largar ou colar uma imagem","Загрузите, перетащите или вставьте изображение","Carregar, arrastar e soltar ou colar uma imagem","Wczytaj, przeciągnij i upuść lub wklej obraz","Bir görsel yükleyin, sürükleyip bırakın veya yapıştırın","Kargatu, arrastatu eta jaregin edo itsatsi irudia","Carregatz, arrastatz, daissatz anar o colatz una imatge","โหลด ลากและวาง หรือวางรูปภาพจากคลิปบอร์ด","이미지 불러오기 — 드래그 앤 드롭하거나 붙여넣기","Nahrajte, přetáhněte nebo vložte obrázek"
loadFromClipboard,Paste image from clipboard,Pegar imagen desde el portapapeles,Pegar imagen desde el portapapeles,Enganxar imatge des del porta-retalls,从剪贴板粘贴图像,從剪貼簿貼上圖像,クリップボードから画像を貼り付け,Incolla immagine dagli appunti,Bild aus Zwischenablage einfügen,Coller l'image depuis le presse-papiers,Colar imagem da área de transferência,Вставить изображение из буфера обмена,Colar imagem da área de transferência,Wklej obraz ze schowka,Panodan resim yapıştır,Itsatsi irudia arbeletik,Pegar l'imatge del portapapèls,วางภาพจากคลิปบอร์ด,클립보드에서 이미지 붙여넣기,Vložit obrázek ze schránky
pasteFromClipboard,Paste or drag and drop here an image,Pegar o arrastrar y soltar aquí una imagen,Pegar o arrastrar y soltar aquí una imagen,Enganxar o arrossegar i deixar anar aquí una imatge,粘贴或拖放此处图像,貼上或拖放此處圖像,ここに画像を貼り付けまたはドラッグアンドドロップ,Incolla o trascina e rilascia qui un'immagine,Einfügen oder hierher ziehen und ablegen ein Bild,Coller ou glisser-déposer ici une image,Colar ou arrastar e soltar aqui uma imagem,Вставить или перетащить сюда изображение,Colar ou arrastar e soltar aqui uma imagem,Wklej lub przeciągnij i upuść tutaj obraz,Yapıştır veya buraya sürükle ve bırak bir resim,Itsatsi edo arrastatu eta jaregin hemen irudi bat,Pegar o traïnar e daissar aicí una imatge,วางหรือลากและวางที่นี่รูปภาพ,붙여넣기 또는 여기로 드래그 앤 드롭 이미지,Vložit nebo přetáhnout a pustit sem obrázek
fromUrl,Load image from internet,Cargar imagen desde internet,Cargar imagen desde internet,Carregar imatge des d'internet,从互联网加载图像,從網際網路載入圖像,インターネットから画像を読み込む,Carica immagine da internet,Bild aus dem Internet laden,Charger l'image depuis internet,Carregar imagem da internet,Загрузить изображение из интернета,Carregar imagem da internet,Załaduj obraz z internetu,İnternetten resim yükle,Internetetik irudia kargatu,Cargar imatge dempuèi internet,โหลดภาพจากอินเทอร์เน็ต,인터넷에서 이미지 로드,Načíst obrázek z internetu
fromUrlDesc,Type here the URL of an image,Escribe aquí la URL de una imagen,Escribe aquí la URL de una imagen,Escriu aquí l'URL d'una imatge,在此处输入图像的 URL,在此輸入圖像的 URL,ここに画像のURLを入力してください,Inserisci qui l'URL di un'immagine,Geben Sie hier die URL eines Bildes ein,Saisissez ici l'URL d'une image,Digite aqui o URL de uma imagem,Введите здесь URL изображения,Digite aqui o URL de uma imagem,Wpisz tutaj adres URL obrazu,Buraya bir resmin URL'sini yazın,Hemen idatzi irudi baten URLa,Escriu aicí l'URL d'una imatge,พิมพ์ URL ของภาพที่นี่,여기에 이미지 URL을 입력하세요,Zde zadejte URL obrázku
