key,en,es-ES,es-LA,ca,zh-CN,zh-TW,ja,it,de,fr,pt-PT,ru,pt-BR,pl,tr,eu,oc,th,ko,cs
paletteViewer,Palette viewer,Visor de paleta,Visor de paleta,Visor de paleta,调色板查看器,調色板檢視器,パレットビューア,Visualizzatore di palette,Palettenansicht,Visualiseur de palette,Visualizador de paleta,Просмотр палитры,Visualizador de paleta,Podgląd palety,Palet görüntüleyici,Paleta ikustea,Visualisador de paleta,ดูจานสี,팔레트 뷰어,Prohlížeč palety
paletteColors,Palette colors,Colores de la paleta,Colores de la paleta,Colors de la paleta,调色板颜色,調色盤顏色,パレットの色数,Colori della palette,Palettenfarben,Couleurs de la palette,Cores da paleta,Цвета палитры,Cores da paleta,Kolory palety,Palet renkleri,Paleta koloreak,Colors de la paleta,พาเลทสี,팔레트 색상,Barvy palety
colorPalette,Color palette,Paleta de colores,Paleta de colores,Paleta de colors,配色,配色,カラーパレット,Palette colori,Farbpalette,Palette de couleurs,Paleta de cores,Цветовая палитра,Paleta de cores,Paleta kolorów,Renk paleti,Kolore paleta,Paleta de cores,พาเลทสี,색상 팔레트,Barevná paleta
extractColors,Extract colors,Extraer colores,Extraer colores,Extreure colors,提取颜色,提取顏色,色を抽出,Estrai colori,Farben extrahieren,Extraire les couleurs,Extrair cores,Извлечь цвета,Extrair cores,Wyodrębnij kolory,Renkleri çıkar,Koloreak atera,Extreure colors,ดึงสี,색상 추출,Extrahovat barvy
dragToReorder,Drag to reorder,Arrastra para reordenar,Arrastra para reordenar,Arrossegar per reordenar,拖动以重排,拖曳以重新排序,ドラッグして並び替え,Trascina per riordinare,Zum Neuordnen ziehen,Glisser pour réordonner,Arraste para reordenar,Перетащите, чтобы изменить порядок,Przeciągnij, aby zmienić kolejność,Sürükleyerek yeniden sırala,Arrastra per reordenar,Arrastra per reordenar,ลากเพื่อจัดลำดับ,드래그하여 순서 변경,Přetáhněte pro přeuspořádání
clickToChange,Click colors to change them,Haz clic en un color para cambiarlo,Toca un color para cambiarlo,Fes clic a un color per canviar-lo,点击颜色以修改,點選顏色以修改,色をクリックして変更,Clicca un colore per cambiarlo,"Klicke auf eine Farbe, um sie zu ändern",Cliquez sur une couleur pour la changer,Clique numa cor para alterar,Clic na barvu pro změnu,Kliknij kolor, aby go zmienić,Renk değiştirmek için bir renge tıklayın,Klikatu kolore bat aldaketak egin,คลิกสีเพื่อเปลี่ยน,색상을 클릭하여 변경,Klikněte na barvu pro změnu
paletteInstructions,Click a color to modify it or drag it to change its palette position,"Haz clic en un color para modificarlo o arrástralo para cambiar su posición en la paleta","Toca un color para modificarlo o arrástralo para cambiar su posición en la paleta","Fes clic a un color per modificar-lo o arrossega'l per canviar la seva posició a la paleta",点击颜色进行修改，或拖动改变其在调色板中的位置,點選顏色來修改，或拖曳改變它在調色盤中的位置,色をクリックして編集、またはドラッグでパレット内の位置を変更できます,Clicca un colore per modificarlo o trascinalo per cambiare la sua posizione nella palette,"Klicke auf eine Farbe, um sie zu bearbeiten, oder ziehe sie, um ihre Position in der Palette zu ändern",Cliquez sur une couleur pour la modifier ou glissez-la pour changer sa position dans la palette,"Clique numa cor para modificar ou arraste-a para alterar a sua posição na paleta","Нажмите на цвет, чтобы изменить его, или перетащите, чтобы изменить его позицию в палитре","Clique numa cor para modificar ou arraste-a para alterar a sua posição na paleta","Kliknij kolor, aby go zmienić lub przeciągnij go, aby zmienić jego pozycję","Bir rengi düzenlemek için üzerine tıklayın veya palet içindeki konumunu değiştirmek için sürükleyin","Klikatu kolore bat aldaketak egin edo arrastatu paletaren posizioa aldatzeko",คลิกสีเพื่อแก้ไข หรือลากเพื่อเปลี่ยนตำแหน่งในพาเลท,색상을 클릭하여 수정하거나 드래그하여 팔레트 내 위치를 변경하세요,Klikněte na barvu pro úpravu nebo ji přetáhněte pro změnu její pozice v paletě
clickToChangeColor,Click in a color to edit it or drag it to change its position within the palette,Haz clic en un color para editarlo o arrástralo para cambiar su posición en la paleta,Toca un color para editarlo o arrástralo para cambiar su posición en la paleta,Fes clic a un color per editar-lo o arrossega'l per canviar la seva posició a la paleta,点击颜色进行编辑，或拖动以改变其在调色板中的位置,點選顏色進行編輯，或拖曳改變其在調色盤中的位置,色をクリックして編集するか、ドラッグしてパレット内の位置を変更してください,Clicca un colore per modificarlo o trascinalo per cambiare la sua posizione nella palette,"Klicke auf eine Farbe, um sie zu bearbeiten, oder ziehe sie, um ihre Position in der Palette zu ändern",Cliquez une couleur pour la modifier ou faites-la glisser pour changer sa position dans la palette,"Clique numa cor para editar ou arraste-a para alterar a sua posição na paleta","Нажмите на цвет, чтобы изменить его, или перетащите, чтобы изменить его позицию в палитре","Clique numa cor para editar ou arraste-a para alterar a sua posição na paleta","Kliknij kolor, aby go edytować lub przeciągnij go, aby zmienić jego pozycję","Bir renge tıklayarak düzenleyin veya palet içindeki konumunu değiştirmek için sürükleyin","Klikatu kolore bat editatu edo arrastatu bere posizioa aldatzeko paletan",คลิกสีเพื่อแก้ไข หรือลากเพื่อเปลี่ยนตำแหน่งในพาเลท,색상을 클릭하여 편집하거나 드래그하여 팔레트 내 위치를 변경하세요,Klikněte na barvu pro úpravu nebo ji přetáhněte pro změnu její pozice v paletě
png8Indexed,PNG-8 Indexed,PNG-8 indexada,PNG-8 indexada,PNG-8 Indexat,PNG-8 索引,PNG-8 索引,PNG-8 インデックス,PNG-8 Indicizzato,PNG-8 Indiziert,PNG-8 Indexé,PNG-8 indexado,PNG-8 индексированный,PNG-8 indexado,PNG-8 indeksowany,PNG-8 indeksli,PNG-8 indexatua,PNG-8 indexat,PNG-8 ดัชนี,PNG-8 indexované
zoomed,zoomed,ampliado,ampliado,ampliat,缩放,縮放,ズーム,ingrandito,vergrößert,zoomé,ampliado,увеличено,ampliado,powiększony,yakınlaştırılmış,handitua,agrandi,ซูม,확대됨,zvětšeno
